Plant ID,Technology,Installed Capacity (MW),Max Capacity (MW),Capacity Fraction
132876,Solar PV,430.68265,430.68265,1.0
132875,Solar PV,33.12943,33.12943,1.0
141559,Solar PV,5168.19175,5168.19175,1.0
134655,Solar PV,3809.88494,3809.88494,1.0
135800,Solar PV,2882.26078,2882.26078,1.0
141016,Solar PV,4406.21476,4406.21476,1.0
140433,Solar PV,298.16491,298.16491,1.0
134052,Solar PV,66.25887,66.25887,1.0
131153,Solar PV,6526.49855,6526.49855,1.0
135235,Solar PV,3312.94343,3312.94343,1.0
129443,Solar PV,0.0,17492.3413,0.0
142109,Solar PV,6095.81591,6095.81591,1.0
135239,Solar PV,4962.333705733126,14875.11599,0.33359966463919494
141561,Solar PV,1921.50719,1921.50719,1.0
139860,Solar PV,21997.94436,21997.94436,1.0
134053,Solar PV,4439.34419,4439.34419,1.0
134054,Solar PV,7056.5695,7056.5695,1.0
105646,Solar PV,0.0,265.03547,0.0
132877,Solar PV,6460.23968,6460.23968,1.0
152308,Wind,1300.2996,1300.2996,1.0
139196,Wind,4266.47823,4266.47823,1.0
138624,Wind,2932.94414,2932.94414,1.0
138049,Wind,11.42436,11.42436,1.0
61547,Wind,522.40471,522.40471,1.0
138625,Wind,1621.22019,1621.22019,1.0
139197,Wind,0.0,4222.85796,0.0
139762,Wind,3385.76413,3385.76413,1.0
139195,Wind,1330.41836,1330.41836,1.0
136900,Wind,0.0,2272.40856,0.0
62665,Wind,742.58324,742.58324,1.0
138048,Wind,166.88758881522594,777.89489,0.21453745353080533
138626,Wind,128.78367,128.78367,1.0
138047,Wind,1294.06813,1294.06813,1.0
137447,Wind,38.42738,38.42738,1.0
62117,Wind,819.43801,819.43801,1.0
94756,Wind,0.0,7627.31649,0.0
62116,Wind,0.0,967.95465,0.0
95340,Wind,0.0,3487.54477,0.0
83_GAS,Thermal,4897.0,4897.0,1.0
83_Coal,Thermal,0.0,0.0,0.0
