Scenario,Hour,Solar PV Generation (MW),Solar PV Curtailment (MW),Wind Generation (MW),Wind Curtailment (MW),All Thermal Generation (MW),Hydro Generation (MW),Nuclear Generation (MW),Other Renewables Generation (MW),Imports (MW),Storage Charge/Discharge (MW),Exports (MW),Load (MW),Net Load (MW)
GenMix_Target=0.5_P_Capexx1.0_load_datax0.9,1,0.0,0.0,16592.057366948346,0.0,4897.0,2350.85995,2272.82328,1789.27366,0,3667.1843189483443,0,24234.829938000003,1229.8156810516568
GenMix_Target=0.5_P_Capexx1.0_load_datax0.9,2,0.0,0.0,16514.16044702267,0.0,4897.0,2359.65165,2273.72072,1778.90751,0,4415.931825022672,0,23407.508502,481.0681749773307
GenMix_Target=0.5_P_Capexx1.0_load_datax0.9,3,0.0,0.0,16579.04700021928,0.0,4897.0,2063.74177,2274.35167,1775.3033,0,4826.023082219281,0,22763.420658000003,70.97691778072112
GenMix_Target=0.5_P_Capexx1.0_load_datax0.9,4,0.0,0.0,16842.06079204411,0.0,4897.0,1929.00365,2274.18453,1772.69607,0,5308.750170044107,0,22406.194872,-411.75017004411075
GenMix_Target=0.5_P_Capexx1.0_load_datax0.9,5,0.0,0.0,16735.744908035133,0.0,4897.0,1978.7031,2273.92119,1776.05623,0,5221.46012603513,0,22439.965302,-324.4601260351319
GenMix_Target=0.5_P_Capexx1.0_load_datax0.9,6,0.0,0.0,17124.850505998074,0.0,4897.0,2274.47982,2274.6642,1774.67763,0,5396.8185849980655,0,22948.853571000003,-499.8185849980712
GenMix_Target=0.5_P_Capexx1.0_load_datax0.9,7,290.31916663293407,0.0,17551.316416593014,0.0,4897.0,2541.02594,2274.96771,1777.01514,0,5549.6717912259455,0,23781.972582000002,-652.6717912259456
GenMix_Target=0.5_P_Capexx1.0_load_datax0.9,8,1554.4148422177652,0.0,18605.266273433437,0.0,4897.0,2377.80212,2274.36005,1772.26723,0,7715.241741651205,0,23765.868774000002,-2818.2417416512
GenMix_Target=0.5_P_Capexx1.0_load_datax0.9,9,2064.000699895768,0.0,18156.78800468331,0.0,4897.0,1850.3501,2273.97646,1765.77912,0,7911.610022579076,0,23096.284362,-3014.610022579078
GenMix_Target=0.5_P_Capexx1.0_load_datax0.9,10,1980.1776561537067,0.0,16567.87784079823,0.0,4897.0,1856.33584,2273.79651,1728.63502,0,6885.812317951935,0,22418.010549000002,-1988.8123179519362
GenMix_Target=0.5_P_Capexx1.0_load_datax0.9,11,1833.7746164249027,0.0,16479.678631545463,0.0,4897.0,1690.7218,2273.82441,1729.4593,0,7150.123022970364,0,21754.335735,-2253.123022970365
GenMix_Target=0.5_P_Capexx1.0_load_datax0.9,12,1807.7257450356497,0.0,17085.60846648323,0.0,4897.0,1591.59286,2273.3104,1717.51558,0,8278.978994518877,0,21093.774057000002,-3381.9789945188777
GenMix_Target=0.5_P_Capexx1.0_load_datax0.9,13,1922.4546959150377,0.0,17759.22029003778,0.0,4154.928144736108,1502.94835,2273.2278,1725.88248,0,8716.31432768893,0,20622.347433,-4561.3861829528205
GenMix_Target=0.5_P_Capexx1.0_load_datax0.9,14,2039.041648576434,0.0,18197.049834355334,0.0,3853.9384168976912,1568.58219,2272.73277,1728.15225,0,8961.624007829458,0,20697.873102,-5107.6855909317665
GenMix_Target=0.5_P_Capexx1.0_load_datax0.9,15,1738.4770545758722,0.0,17955.32720863275,0.0,4897.0,1691.31252,2273.15628,1732.26885,0,8895.531679208623,0,21392.010233999998,-3998.5316792086232
GenMix_Target=0.5_P_Capexx1.0_load_datax0.9,16,545.8752873777914,0.0,19089.658868866747,0.0,4897.0,2100.98322,2272.64222,1788.5111,0,7994.807813244537,0,22699.862883,-3097.807813244537
GenMix_Target=0.5_P_Capexx1.0_load_datax0.9,17,0.0,0.0,20128.261895585158,0.0,4897.0,2797.40289,2272.26654,1865.41948,0,6642.737347585162,0,25317.613458,-1745.7373475851577
GenMix_Target=0.5_P_Capexx1.0_load_datax0.9,18,0.0,0.0,21510.001591496493,0.0,4897.0,3241.56259,2272.95466,1964.17257,0,4916.75651549649,0,28968.934896000002,-19.756515496490692
GenMix_Target=0.5_P_Capexx1.0_load_datax0.9,19,0.0,0.0,23162.352797725343,0.0,4897.0,3443.81907,2273.316,1970.43835,0,6022.537270725339,0,29724.388947000003,-1125.53727072534
GenMix_Target=0.5_P_Capexx1.0_load_datax0.9,20,0.0,0.0,25716.777443496307,0.0,4204.749229873531,3278.70458,2272.44109,1967.35514,0,7914.538401369836,0,29525.489082000004,-3709.7891714963025
GenMix_Target=0.5_P_Capexx1.0_load_datax0.9,21,0.0,0.0,26815.917895867773,0.0,3124.885606502059,2893.49016,2272.43881,1887.29345,0,7914.538401369836,0,29079.487521,-4789.652794867774
GenMix_Target=0.5_P_Capexx1.0_load_datax0.9,22,0.0,0.0,26666.76712923744,0.0,2600.0398571324004,2554.17395,2272.75623,1847.9486,0,7914.538401369836,0,28027.147365,-5314.498544237439
GenMix_Target=0.5_P_Capexx1.0_load_datax0.9,23,0.0,0.0,26368.71727679792,0.0,1516.3705555719134,2272.69783,2273.49363,1801.85677,0,7914.538401369836,0,26318.597661,-6398.1678457979215
GenMix_Target=0.5_P_Capexx1.0_load_datax0.9,24,0.0,0.0,26349.784755369838,91.26524245580367,0.0,2125.45029,2274.43377,1781.79636,0,7914.538401369836,0,24616.926774,-8005.803643825642
GenMix_Target=0.5_P_Capexx1.0_load_datax0.9,25,0.0,0.0,25402.770308369836,745.5557358902151,0.0,1976.73049,2272.10748,1779.85401,0,7914.538401369836,0,23516.923887,-8660.09413726005
GenMix_Target=0.5_P_Capexx1.0_load_datax0.9,26,0.0,0.0,25740.923538829444,40.21828155784897,0.0,1916.08734,2271.68539,1775.86374,0,8961.624007829449,0,22742.936001,-9001.842289387294
GenMix_Target=0.5_P_Capexx1.0_load_datax0.9,27,0.0,0.0,25495.548321179525,8.540482923754649,0.0,1767.92297,2272.17995,1779.45385,0,8936.873561179524,0,22378.23153,-8945.414044103281
GenMix_Target=0.5_P_Capexx1.0_load_datax0.9,28,0.0,0.0,25518.386382445067,0.0,0.0,1813.7194,2271.74,1778.60586,0,8880.781269445062,0,22501.670373,-8880.781269445066
GenMix_Target=0.5_P_Capexx1.0_load_datax0.9,29,0.0,0.0,25596.98755666655,0.0,0.0,1853.20168,2271.91046,1777.53263,0,8153.43958266655,0,23346.192744,-8153.43958266655
GenMix_Target=0.5_P_Capexx1.0_load_datax0.9,30,0.0,0.0,25420.11721430746,0.0,1147.7384300623817,2374.9343,2271.79811,1813.03012,0,7914.538401369836,0,25113.079773,-6766.799971307457
GenMix_Target=0.5_P_Capexx1.0_load_datax0.9,31,290.31916663293407,0.0,25289.19381282533,0.0,2627.422569911573,3071.83127,2271.83689,1823.61862,0,7914.538401369836,0,27459.683928000002,-5287.1158314582635
GenMix_Target=0.5_P_Capexx1.0_load_datax0.9,32,1554.2099937612081,0.0,25131.247466308458,0.0,2680.6389263001756,3060.75883,2271.82665,1817.28301,0,7914.538401369836,0,28601.426475,-5233.899475069666
GenMix_Target=0.5_P_Capexx1.0_load_datax0.9,33,2054.878693001142,0.0,23524.89194156861,0.0,4137.253309800085,2379.734,2272.13217,1807.16665,0,7914.538401369836,0,28261.518363,-3777.2850915697527
GenMix_Target=0.5_P_Capexx1.0_load_datax0.9,34,1955.8331502040437,0.0,22380.317676649553,0.0,4831.905492516244,1821.02956,2273.33141,1764.80068,0,7914.538401369836,0,27112.679568,-3082.6329088535967
GenMix_Target=0.5_P_Capexx1.0_load_datax0.9,35,1818.4304584114998,0.0,20955.0355082528,0.0,4897.0,1608.68114,2272.58316,1764.80052,0,7246.1710356643025,0,26070.359751,-2349.1710356643002
GenMix_Target=0.5_P_Capexx1.0_load_datax0.9,36,1793.3370054798359,0.0,20908.551237537173,0.0,4897.0,1569.38605,2271.64759,1743.28636,0,7995.956446017012,0,25187.251797,-3098.9564460170077
GenMix_Target=0.5_P_Capexx1.0_load_datax0.9,37,1895.2824040527828,0.0,20347.649261085946,0.0,4897.0,1517.2403,2271.13844,1717.17108,0,8012.036048138726,0,24633.445437000002,-3115.036048138727
GenMix_Target=0.5_P_Capexx1.0_load_datax0.9,38,1998.7064618596453,0.0,19511.0806773071,0.0,4897.0,1499.82831,2271.9547,1749.82994,0,7293.092039166744,0,24635.30805,-2396.0920391667473
GenMix_Target=0.5_P_Capexx1.0_load_datax0.9,39,1701.48664397016,0.0,18147.472351628356,0.0,4897.0,1518.98264,2272.15452,1767.32966,0,5261.883146598516,0,25042.542669,-364.8831465985172
GenMix_Target=0.5_P_Capexx1.0_load_datax0.9,40,527.9835078096722,0.0,18171.562966738267,0.0,4897.0,1771.344,2271.19906,1790.4726,0,3275.0485045479254,0,26154.51363,1621.9514954520619
GenMix_Target=0.5_P_Capexx1.0_load_datax0.9,41,0.0,0.0,18039.93772602639,0.0,4897.0,2886.11495,2270.77884,1843.44536,0,1586.0273160263887,0,28351.24956,3310.9726839736104
GenMix_Target=0.5_P_Capexx1.0_load_datax0.9,42,0.0,0.0,17309.978882712046,0.0,4897.0,3355.08242,2272.02612,1956.69124,0,-1743.7967452879573,0,31534.575408,6640.796745287954
GenMix_Target=0.5_P_Capexx1.0_load_datax0.9,43,0.0,0.0,16728.67520591001,0.0,4897.0,3362.43615,2271.38148,1955.1573,0,-2950.5734160899906,0,32165.223552000003,7847.573416089992
GenMix_Target=0.5_P_Capexx1.0_load_datax0.9,44,0.0,0.0,17016.361138707503,0.0,4897.0,3702.80186,2270.77099,1957.61878,0,-2149.7474812924993,0,31994.300250000004,7046.7474812925
GenMix_Target=0.5_P_Capexx1.0_load_datax0.9,45,0.0,0.0,16082.671035033185,0.0,4897.0,3528.70561,2271.31488,1911.60531,0,-2835.267105966817,0,31526.563941,7732.2671059668155
GenMix_Target=0.5_P_Capexx1.0_load_datax0.9,46,0.0,0.0,15504.117770925848,0.0,4897.0,3009.23935,2271.40369,1874.86184,0,-2717.814697074154,0,30274.437348000003,7614.8146970741545
GenMix_Target=0.5_P_Capexx1.0_load_datax0.9,47,0.0,0.0,14752.083823225676,0.0,4897.0,2452.75731,2271.84025,1820.72351,0,-2105.6209147743216,0,28300.025808,7002.620914774323
GenMix_Target=0.5_P_Capexx1.0_load_datax0.9,48,0.0,0.0,14287.713204408765,0.0,4897.0,2105.84629,2273.26322,1772.14567,0,-1057.1566115912296,0,26393.124996,5954.156611591234
GenMix_Target=0.5_P_Capexx1.0_load_datax0.9,49,0.0,0.0,13706.716400682306,0.0,4897.0,1890.6653,2271.7643,1767.44471,0,-430.2587213176939,0,24963.849432,5327.258721317694
GenMix_Target=0.5_P_Capexx1.0_load_datax0.9,50,0.0,0.0,13578.499653264113,0.0,4897.0,1646.13601,2268.91299,1745.16677,0,109.64728026411103,0,24026.068143,4787.352719735888
GenMix_Target=0.5_P_Capexx1.0_load_datax0.9,51,0.0,0.0,13841.646393361436,0.0,4897.0,1613.70478,2269.42241,1717.80874,0,723.8422433614321,0,23615.740080000003,4173.157756638568
GenMix_Target=0.5_P_Capexx1.0_load_datax0.9,52,0.0,0.0,13499.552151778571,0.0,4897.0,1623.97328,2269.37887,1722.2454,0,398.11669677856844,0,23614.033005,4498.88330322143
GenMix_Target=0.5_P_Capexx1.0_load_datax0.9,53,0.0,0.0,13170.479885738665,0.0,4897.0,1740.33244,2270.14767,1723.32001,0,-574.3708622613399,0,24375.650868,5471.370862261336
GenMix_Target=0.5_P_Capexx1.0_load_datax0.9,54,0.0,0.0,12916.208905703523,0.0,4897.0,2312.49749,2270.54554,1745.40054,0,-1956.0347672964785,0,26097.687243,6853.034767296477
GenMix_Target=0.5_P_Capexx1.0_load_datax0.9,55,282.477462591789,0.0,12247.651672893266,0.0,4897.0,2772.4667,2270.05147,1765.52091,0,-4336.644614514946,0,28571.81283,9233.644614514944
GenMix_Target=0.5_P_Capexx1.0_load_datax0.9,56,1492.3277326423276,0.0,12811.021639645507,0.0,4897.0,2584.15671,2269.87176,1784.98432,0,-3977.5639117121673,0,29816.926074000003,8874.563911712168
GenMix_Target=0.5_P_Capexx1.0_load_datax0.9,57,1964.4942480714165,0.0,12528.737189856532,0.0,4897.0,2115.4461,2270.83031,1788.95408,0,-3743.2761490720513,0,29308.738077,8640.276149072053
GenMix_Target=0.5_P_Capexx1.0_load_datax0.9,58,1844.5497766449796,0.0,10962.497235335619,0.0,4897.0,1706.65133,2270.58341,1735.90513,0,-4622.681074019405,0,28039.867956000002,9519.681074019403
GenMix_Target=0.5_P_Capexx1.0_load_datax0.9,59,1705.1546814580975,0.0,9958.602762685809,0.0,4897.0,1486.01447,2270.46587,1724.24361,0,-4903.172079856094,0,26944.653474000002,9800.172079856096
GenMix_Target=0.5_P_Capexx1.0_load_datax0.9,60,1721.2989985676409,0.0,9238.370814027734,0.0,4897.0,1330.25815,2270.0664,1699.16155,0,-4819.366176404619,0,25975.522089000002,9716.366176404626
GenMix_Target=0.5_P_Capexx1.0_load_datax0.9,61,1843.1526838902246,0.0,8157.885377761295,0.0,4897.0,1328.75095,2269.7085,1698.56006,0,-5323.231028348478,0,25518.2886,10220.23102834848
GenMix_Target=0.5_P_Capexx1.0_load_datax0.9,62,1960.1124870235908,0.0,6250.891109251991,0.0,4897.0,1327.09933,2269.34549,1696.37059,0,-7270.007533724416,0,25670.82654,12167.007533724416
GenMix_Target=0.5_P_Capexx1.0_load_datax0.9,63,1668.8427709901607,0.0,5527.250224763464,0.0,4897.0,1453.09843,2269.05942,1690.45271,0,-8623.911511246373,0,26129.615067000002,13520.911511246377
GenMix_Target=0.5_P_Capexx1.0_load_datax0.9,64,534.8009695680327,0.0,7707.519951482573,0.0,4897.0,2124.10003,2269.29379,1755.3951,0,-7567.322816949392,0,26855.432658,12464.322816949396
GenMix_Target=0.5_P_Capexx1.0_load_datax0.9,65,0.0,0.0,9905.416797717555,0.0,4897.0,2907.13594,2269.41559,1824.28077,0,-6890.285465282444,0,28693.534563,11787.285465282446
GenMix_Target=0.5_P_Capexx1.0_load_datax0.9,66,0.0,0.0,10895.645702040578,0.0,4897.0,3749.78855,2269.13177,1916.21774,0,-7781.3991899594175,0,31509.182952000003,12678.399189959426
GenMix_Target=0.5_P_Capexx1.0_load_datax0.9,67,0.0,0.0,10397.696324585417,0.0,4897.0,3918.31748,2268.60662,1915.97277,0,-8650.539034414587,0,32048.132229000003,13547.539034414585
GenMix_Target=0.5_P_Capexx1.0_load_datax0.9,68,0.0,0.0,10859.847547366377,0.0,4897.0,3652.36646,2268.07947,1855.00721,0,-8274.066404633622,0,31806.367092,13171.066404633624
GenMix_Target=0.5_P_Capexx1.0_load_datax0.9,69,0.0,0.0,10709.597700353126,0.0,4897.0,3045.51265,2269.07595,1777.16653,0,-8493.086471646877,0,31191.439302,13390.086471646873
GenMix_Target=0.5_P_Capexx1.0_load_datax0.9,70,0.0,0.0,10253.515094125156,0.0,4897.0,2530.64985,2269.40243,1736.95608,0,-8194.043355874841,0,29881.566809999997,13091.043355874841
GenMix_Target=0.5_P_Capexx1.0_load_datax0.9,71,0.0,0.0,10789.46161580128,0.0,4897.0,2267.6788,2269.2099,1683.00454,0,-6024.523415198715,0,27930.878271,10921.523415198722
GenMix_Target=0.5_P_Capexx1.0_load_datax0.9,72,0.0,0.0,11986.558806144556,0.0,4897.0,2159.48083,2269.01268,1675.06881,0,-3009.403614855445,0,25996.524741,7906.403614855445
GenMix_Target=0.5_P_Capexx1.0_load_datax0.9,73,0.0,0.0,13146.213905967947,0.0,4897.0,2046.68452,2268.30824,1690.61168,0,-730.5652590320569,0,24779.383605000003,5627.565259032056
GenMix_Target=0.5_P_Capexx1.0_load_datax0.9,74,0.0,0.0,14398.005417303992,0.0,4897.0,1853.73264,2268.59916,1684.69309,0,1208.8489463039937,0,23893.181361,3688.1510536960072
GenMix_Target=0.5_P_Capexx1.0_load_datax0.9,75,0.0,0.0,14901.157522211523,0.0,4897.0,1728.87708,2269.15393,1647.49556,0,1981.674398211521,0,23462.009694,2915.325601788478
GenMix_Target=0.5_P_Capexx1.0_load_datax0.9,76,0.0,0.0,15247.419319485734,0.0,4897.0,1740.55254,2268.98898,1648.73394,0,2361.986528485733,0,23440.708251,2535.013471514266
GenMix_Target=0.5_P_Capexx1.0_load_datax0.9,77,0.0,0.0,15806.873265820697,0.0,4897.0,1893.26015,2270.16928,1692.76954,0,2377.177121820695,0,24182.895114000003,2519.822878179305
GenMix_Target=0.5_P_Capexx1.0_load_datax0.9,78,0.0,0.0,15679.247109745345,0.0,4897.0,2311.35644,2271.40396,1696.69113,0,958.828531745345,0,25896.870108,3938.1714682546535
GenMix_Target=0.5_P_Capexx1.0_load_datax0.9,79,289.8070454915417,0.0,17287.211282997057,0.0,4234.039158511407,2604.32813,2272.77479,1698.43353,0,0.0,0,28386.593937,4234.039158511402
GenMix_Target=0.5_P_Capexx1.0_load_datax0.9,80,1528.5483385169205,0.0,17760.334408173137,0.0,4897.0,2601.94232,2272.73707,1706.89474,0,1256.6995166900538,0,29510.75736,3640.3004833099412
GenMix_Target=0.5_P_Capexx1.0_load_datax0.9,81,2017.7473887069766,0.0,15837.892647726518,0.0,4897.0,2099.51601,2272.97856,1720.19346,0,-280.2748875665086,0,29125.602954,5177.2748875665075
GenMix_Target=0.5_P_Capexx1.0_load_datax0.9,82,1914.749016505255,0.0,13720.805562981677,0.0,4897.0,1651.5189,2273.137,1640.6854,0,-2045.0286825130715,0,28142.924562,6942.028682513068
GenMix_Target=0.5_P_Capexx1.0_load_datax0.9,83,1784.6759076124629,0.0,12989.267561208277,0.0,4897.0,1423.88537,2273.36692,1620.74302,0,-2016.9268811792608,0,27005.86566,6913.92688117926
GenMix_Target=0.5_P_Capexx1.0_load_datax0.9,84,1755.7816385995613,0.0,12367.637799958888,0.0,4897.0,1365.10131,2273.05707,1609.7557,0,-1763.4658764415515,0,26031.799395,6660.465876441549
GenMix_Target=0.5_P_Capexx1.0_load_datax0.9,85,1861.867103322633,0.0,12408.083674960782,0.0,4897.0,1344.30416,2272.95768,1603.97572,0,-1074.7170877165843,0,25462.905425999998,5971.717087716583
GenMix_Target=0.5_P_Capexx1.0_load_datax0.9,86,1963.842856260565,0.0,11136.945667948756,0.0,4897.0,1341.99768,2272.39422,1595.87737,0,-2183.2484917906777,0,25391.306286,7080.248491790679
GenMix_Target=0.5_P_Capexx1.0_load_datax0.9,87,1675.3673257366802,0.0,9767.904762289863,0.0,4897.0,1428.6066,2272.56212,1601.77844,0,-4009.131173973455,0,25652.350422,8906.131173973456
GenMix_Target=0.5_P_Capexx1.0_load_datax0.9,88,542.6938857233181,0.0,10386.675614869016,0.0,4897.0,2161.85838,2271.77385,1678.96781,0,-4580.365668407661,0,26519.335209,9477.365668407667
GenMix_Target=0.5_P_Capexx1.0_load_datax0.9,89,0.0,0.0,11478.82880874656,0.0,4897.0,2686.82768,2271.30668,1732.69304,0,-5266.720665253435,0,28333.376873999998,10163.720665253437
GenMix_Target=0.5_P_Capexx1.0_load_datax0.9,90,0.0,0.0,9234.174357390226,0.0,4897.0,3311.22977,2270.75342,1795.21331,0,-9448.276120609773,0,30956.646978,14345.276120609775
GenMix_Target=0.5_P_Capexx1.0_load_datax0.9,91,0.0,0.0,8006.136327729398,0.0,4897.0,3253.15582,2270.70674,1803.7008,0,-11073.420109270603,0,31304.119797,15970.420109270603
GenMix_Target=0.5_P_Capexx1.0_load_datax0.9,92,0.0,0.0,7119.9434309305125,0.0,4897.0,3165.16111,2270.81793,1797.69481,0,-11565.776154069481,0,30816.393434999998,16462.776154069485
GenMix_Target=0.5_P_Capexx1.0_load_datax0.9,93,0.0,0.0,6864.406660296414,0.0,4897.0,2754.93159,2271.05216,1730.0882,0,-11597.709281703592,0,30115.187892,16494.70928170359
GenMix_Target=0.5_P_Capexx1.0_load_datax0.9,94,0.0,0.0,7042.185832991744,0.0,4897.0,2379.26979,2270.85237,1722.62446,0,-10664.457377008262,0,28976.389830000004,15561.45737700826
GenMix_Target=0.5_P_Capexx1.0_load_datax0.9,95,0.0,0.0,8036.437399889279,0.0,4897.0,2278.57724,2271.64313,1682.42877,0,-8136.910106110741,0,27302.996646,13033.910106110721
GenMix_Target=0.5_P_Capexx1.0_load_datax0.9,96,0.0,0.0,9702.147411377155,0.0,4897.0,2264.25949,2271.49008,1674.22396,0,-4734.930554622846,0,25544.051496,9631.930554622846
GenMix_Target=0.5_P_Capexx1.0_load_datax0.9,97,0.0,0.0,11438.895141194062,0.0,4897.0,2050.6284,2270.83148,1629.81767,0,-1975.1317538059375,0,24262.304445,6872.13175380594
GenMix_Target=0.5_P_Capexx1.0_load_datax0.9,98,0.0,0.0,12895.588151525884,0.0,4897.0,1933.97947,2270.84292,1628.19112,0,400.76497152588104,0,23224.83669,4496.235028474116
GenMix_Target=0.5_P_Capexx1.0_load_datax0.9,99,0.0,0.0,12930.050599606302,0.0,4897.0,1879.64137,2271.22099,1625.55148,0,526.3117466063024,0,23077.152693,4370.688253393698
GenMix_Target=0.5_P_Capexx1.0_load_datax0.9,100,0.0,0.0,11988.040111307044,0.0,4897.0,1681.33176,2271.15932,1629.7816,0,-307.2669756929569,0,22774.579767,5204.266975692955
GenMix_Target=0.5_P_Capexx1.0_load_datax0.9,101,0.0,0.0,12199.04478716227,0.0,4897.0,1926.83468,2270.41506,1630.03368,0,22.877860162267805,0,22900.450347,4874.122139837733
GenMix_Target=0.5_P_Capexx1.0_load_datax0.9,102,0.0,0.0,12194.066144104989,0.0,4897.0,1865.74847,2271.45843,1627.6009,0,-738.0561028950142,0,23593.930047,5635.056102895012
GenMix_Target=0.5_P_Capexx1.0_load_datax0.9,103,276.340123990234,0.0,11271.001016128841,0.0,4897.0,1973.62924,2272.57184,1636.23067,0,-2468.714738880924,0,24795.487629,7365.714738880924
GenMix_Target=0.5_P_Capexx1.0_load_datax0.9,104,1502.0098267544236,0.0,10781.529440504397,0.0,4897.0,1986.4136,2271.81416,1631.17289,0,-2650.312804741181,0,25720.252722,7547.312804741181
GenMix_Target=0.5_P_Capexx1.0_load_datax0.9,105,2018.259509848369,0.0,9684.53635435861,0.0,4897.0,1976.89889,2271.30991,1635.0,0,-4390.973537793022,0,26873.978202000002,9287.973537793023
GenMix_Target=0.5_P_Capexx1.0_load_datax0.9,106,1943.199988201959,0.0,7132.565990561874,0.0,4897.0,2047.07541,2272.11672,1598.1176,0,-7857.634715236161,0,27747.710424,12754.634715236167
GenMix_Target=0.5_P_Capexx1.0_load_datax0.9,107,1790.1331230572125,0.0,5983.70679714468,0.0,4897.0,1653.49398,2272.16925,1616.16738,0,-9460.857825798112,0,27673.528356,14357.857825798106
GenMix_Target=0.5_P_Capexx1.0_load_datax0.9,108,1750.3292922118358,0.0,6741.022750308008,0.0,4897.0,1878.07867,2271.29923,1642.05872,0,-8487.460222480158,0,27667.248885,13384.460222480157
GenMix_Target=0.5_P_Capexx1.0_load_datax0.9,109,1862.8913456054177,0.0,9747.087378781918,0.0,4897.0,1740.6475,2270.34191,1639.96748,0,-5316.146756612667,0,27474.082371,10213.146756612665
GenMix_Target=0.5_P_Capexx1.0_load_datax0.9,110,1971.516558286334,0.0,15068.307784159453,0.0,4897.0,1758.92428,2270.92204,1636.1214,0,231.6947834457867,0,27371.097279,4665.305216554214
GenMix_Target=0.5_P_Capexx1.0_load_datax0.9,111,1705.714768675568,0.0,16736.464732115433,0.0,4897.0,1606.11792,2270.46435,1638.95605,0,1276.8682307909974,0,27577.84959,3620.131769209
GenMix_Target=0.5_P_Capexx1.0_load_datax0.9,112,573.8926998724842,0.0,18667.95315291482,0.0,4897.0,2045.8329,2269.78885,1682.52348,0,2328.555192787306,0,27808.43589,2568.4448072126975
GenMix_Target=0.5_P_Capexx1.0_load_datax0.9,113,0.0,0.0,17050.915126780117,0.0,4897.0,2401.69974,2269.05792,1776.17586,0,-222.2641712198872,0,28617.112818,5119.264171219884
GenMix_Target=0.5_P_Capexx1.0_load_datax0.9,114,0.0,0.0,14794.14947139597,0.0,4897.0,2875.71384,2270.97996,1874.75672,0,-3624.8078456040284,0,30337.407837,8521.80784560403
GenMix_Target=0.5_P_Capexx1.0_load_datax0.9,115,0.0,0.0,13279.701777271388,0.0,4897.0,2622.65226,2271.53147,1882.13035,0,-5397.468727728608,0,30350.484585,10294.46872772861
GenMix_Target=0.5_P_Capexx1.0_load_datax0.9,116,0.0,0.0,12896.609271972577,0.0,4897.0,2252.24208,2271.49714,1836.85518,0,-5650.4513430274255,0,29804.655015,10547.451343027424
GenMix_Target=0.5_P_Capexx1.0_load_datax0.9,117,0.0,0.0,12442.353335246025,0.0,4897.0,2264.83487,2271.97494,1793.48047,0,-5332.264589753976,0,29001.908205,10229.264589753973
GenMix_Target=0.5_P_Capexx1.0_load_datax0.9,118,0.0,0.0,12808.862086806765,0.0,4897.0,2057.74581,2272.39222,1738.37143,0,-4178.995294193237,0,27953.366841000003,9075.995294193239
GenMix_Target=0.5_P_Capexx1.0_load_datax0.9,119,0.0,0.0,13058.310189508622,0.0,4897.0,1843.79191,2272.70627,1698.10999,0,-2593.103409491377,0,26363.021769,7490.1034094913775
GenMix_Target=0.5_P_Capexx1.0_load_datax0.9,120,0.0,0.0,13622.036017387749,0.0,4897.0,1960.99836,2272.29242,1699.80477,0,-374.84158961232896,0,24826.973157,5271.8415896122515
GenMix_Target=0.5_P_Capexx1.0_load_datax0.9,121,0.0,0.0,14177.481878185488,0.0,4897.0,1831.4044,2271.13913,1740.9345,0,1102.2884731854858,0,23815.671435,3794.7115268145117
GenMix_Target=0.5_P_Capexx1.0_load_datax0.9,122,0.0,0.0,14242.307525950684,0.0,4897.0,1750.04968,2271.10807,1745.83868,0,2021.3384689506859,0,22884.965487,2875.661531049317
GenMix_Target=0.5_P_Capexx1.0_load_datax0.9,123,0.0,0.0,15150.5441200133,0.0,4897.0,1704.96928,2271.52794,1742.51453,0,3485.504405013299,0,22281.051465,1411.4955949867015
GenMix_Target=0.5_P_Capexx1.0_load_datax0.9,124,0.0,0.0,15550.499783705813,0.0,4897.0,1651.37656,2270.61934,1740.56205,0,4134.140126705815,0,21975.917607,762.8598732941866
GenMix_Target=0.5_P_Capexx1.0_load_datax0.9,125,0.0,0.0,15020.669568588588,0.0,4897.0,1671.02256,2269.99729,1733.07292,0,3538.5212765885844,0,22053.241062,1358.478723411413
GenMix_Target=0.5_P_Capexx1.0_load_datax0.9,126,0.0,0.0,13965.540363783359,0.0,4897.0,1755.12152,2271.00909,1733.41684,0,2409.9686267833595,0,22212.119187,2487.0313732166414
GenMix_Target=0.5_P_Capexx1.0_load_datax0.9,127,286.14225404166535,0.0,14624.685854053616,0.0,4897.0,1946.44342,2271.39078,1735.51799,0,2825.160727095284,0,22936.019571,2071.839272904719
GenMix_Target=0.5_P_Capexx1.0_load_datax0.9,128,1520.7946930310586,0.0,15484.43976813426,0.0,4897.0,1973.73017,2270.78909,1733.17944,0,4422.702800165314,0,23457.230361,474.29719983468294
GenMix_Target=0.5_P_Capexx1.0_load_datax0.9,129,2007.0090749280434,0.0,13910.980902892581,0.0,4897.0,1887.01808,2270.33873,1711.61882,0,2923.0414878206248,0,23760.92412,1973.9585121793752
GenMix_Target=0.5_P_Capexx1.0_load_datax0.9,130,1923.9542128980709,0.0,14439.61639047548,0.0,4897.0,1700.65004,2270.18582,1671.72558,0,2714.389368373546,0,24188.742675,2182.610631626451
GenMix_Target=0.5_P_Capexx1.0_load_datax0.9,131,1790.1331230572125,0.0,14447.380778137434,0.0,4897.0,1725.86858,2269.58049,1667.90851,0,2330.1161701946457,0,24467.755311,2566.8838298053543
